SMILES,LC50,Structure
CC(C)Cc1ccc(cc1)C(C)C(O)=O,128.5,<rdkit.Chem.rdchem.Mol object at 0x315a8d7e0>
Cc1cc(Nc2ccccc2C(O)=O)ccc1Cl,7.73,<rdkit.Chem.rdchem.Mol object at 0x315a8d850>
CC(=C)[C@@H]1CCC(=CC1)C,0.7505,<rdkit.Chem.rdchem.Mol object at 0x315a8d8c0>
C[Hg]Cl,0.0165,<rdkit.Chem.rdchem.Mol object at 0x315a8d930>
N(Nc1ccccc1)c2ccccc2,4.1,<rdkit.Chem.rdchem.Mol object at 0x315a8d9a0>
O=NN(c1ccccc1)c2ccccc2,7.8,<rdkit.Chem.rdchem.Mol object at 0x315a8da10>
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,55.0,<rdkit.Chem.rdchem.Mol object at 0x315a8da80>
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0.00281,<rdkit.Chem.rdchem.Mol object at 0x315a8daf0>
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,13.04,<rdkit.Chem.rdchem.Mol object at 0x315a8db60>
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,47.595,<rdkit.Chem.rdchem.Mol object at 0x315a8dbd0>
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.06655,<rdkit.Chem.rdchem.Mol object at 0x315a8dc40>
CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,0.6819999999999999,<rdkit.Chem.rdchem.Mol object at 0x315a8dcb0>
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,100.563101,<rdkit.Chem.rdchem.Mol object at 0x315a8dd20>
CC1(C)[C@@H](C(Br)C(Br)(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,9.4e-05,<rdkit.Chem.rdchem.Mol object at 0x315a8dd90>
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,0.049944999999999996,<rdkit.Chem.rdchem.Mol object at 0x315a8de00>
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0.028305,<rdkit.Chem.rdchem.Mol object at 0x315a8de70>
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2,3.7305,<rdkit.Chem.rdchem.Mol object at 0x315a8dee0>
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,235.29071499999998,<rdkit.Chem.rdchem.Mol object at 0x315a8df50>
CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2,1.1480000000000001,<rdkit.Chem.rdchem.Mol object at 0x315a8dfc0>
CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,0.036800000000000006,<rdkit.Chem.rdchem.Mol object at 0x315a8e030>
CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0.0005214999999999999,<rdkit.Chem.rdchem.Mol object at 0x315a8e0a0>
CCCCO[P](=O)(OCCCC)OCCCC,2.41,<rdkit.Chem.rdchem.Mol object at 0x315a8e110>
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,10.455,<rdkit.Chem.rdchem.Mol object at 0x315a8e180>
CN(C)[P](=O)(N(C)C)N(C)C,6670.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e1f0>
CCO[P](O)(=S)OCC,100.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e260>
CCO[P](=S)(OCC)O[P](=S)(OCC)OCC,0.00023,<rdkit.Chem.rdchem.Mol object at 0x315a8e2d0>
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,5.8,<rdkit.Chem.rdchem.Mol object at 0x315a8e340>
N/C(N\N=C\c1ccc(Cl)cc1)=N\N=C\c2ccc(Cl)cc2,0.075,<rdkit.Chem.rdchem.Mol object at 0x315a8e3b0>
