SMILES,LC50,Structure
C1c2ccccc2Oc3ccccc13,20.3,<rdkit.Chem.rdchem.Mol object at 0x17853c270>
CN(C)C(C)=S,417.0,<rdkit.Chem.rdchem.Mol object at 0x17853c2e0>
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,0.64,<rdkit.Chem.rdchem.Mol object at 0x17853c350>
C1C=CC2C3CC(C=C3)C12,10.5,<rdkit.Chem.rdchem.Mol object at 0x17853c430>
CC(C)O[P](C)(=O)OC(C)C,267.0,<rdkit.Chem.rdchem.Mol object at 0x17853c4a0>
CCO[P](=S)(CC)Sc1ccccc1,0.0027,<rdkit.Chem.rdchem.Mol object at 0x17853c510>
CCCN(CCC)C(=O)SCC,4.7,<rdkit.Chem.rdchem.Mol object at 0x17853c580>
CCSC(=O)N1CCCCCC1,7.5,<rdkit.Chem.rdchem.Mol object at 0x17853c5f0>
CC1(C)[C@@H]2CC[C@]1(C)[C@H](C2)OC(=O)CSC#N,0.09,<rdkit.Chem.rdchem.Mol object at 0x17853c660>
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,0.057,<rdkit.Chem.rdchem.Mol object at 0x17853c7b0>
CCCCC(CC)CO[P](=O)(Oc1ccccc1)Oc2ccccc2,0.15,<rdkit.Chem.rdchem.Mol object at 0x17853c820>
ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,0.24,<rdkit.Chem.rdchem.Mol object at 0x17853c890>
CCNc1nc(Cl)nc(NCC)n1,94.0,<rdkit.Chem.rdchem.Mol object at 0x17853c900>
s1c2ccccc2c3c1ccc4ccccc34,0.22,<rdkit.Chem.rdchem.Mol object at 0x17853c9e0>
s1cccc1,318.0,<rdkit.Chem.rdchem.Mol object at 0x17853ca50>
Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl,0.03,<rdkit.Chem.rdchem.Mol object at 0x17853cac0>
Clc1ccccc1c2ccccc2,0.71,<rdkit.Chem.rdchem.Mol object at 0x17853cb30>
Clc1ccc(cc1)c2ccccc2,0.42,<rdkit.Chem.rdchem.Mol object at 0x17853cba0>
Clc1cccc(c1)c2ccccc2,0.43,<rdkit.Chem.rdchem.Mol object at 0x17853cc10>
CCN(CC)CC.OC(=O)COc1nc(Cl)c(Cl)cc1Cl,1170.0,<rdkit.Chem.rdchem.Mol object at 0x17853ccf0>
S=C=S,2.1,<rdkit.Chem.rdchem.Mol object at 0x17853cd60>
CNC.OC(=O)COc1ccc(Cl)cc1Cl,184.0,<rdkit.Chem.rdchem.Mol object at 0x17853cdd0>
NC(=O)C=C,160.0,<rdkit.Chem.rdchem.Mol object at 0x17853ceb0>
NCCNCCN,53.5,<rdkit.Chem.rdchem.Mol object at 0x17853cf20>
NCCNCCNCCN,33.9,<rdkit.Chem.rdchem.Mol object at 0x17853d000>
C1CCC=CC1,9.4,<rdkit.Chem.rdchem.Mol object at 0x17853d070>
N.N.O[S](O)(=O)=O,14.0,<rdkit.Chem.rdchem.Mol object at 0x17853d0e0>
O=[S]1(=O)C=Cc2ccccc12,14.0,<rdkit.Chem.rdchem.Mol object at 0x17853d150>
O=s1c2ccccc2c3ccccc13,20.0,<rdkit.Chem.rdchem.Mol object at 0x17853d1c0>
CCc1ccc(cc1)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C,17.37,<rdkit.Chem.rdchem.Mol object at 0x17853d230>
Clc1cc(Cl)c(cc1Cl)c2ccccc2,0.59,<rdkit.Chem.rdchem.Mol object at 0x17853d310>
ClC1=C(Cl)C2(Cl)C3COCC3C1(Cl)C2(Cl)Cl,0.55,<rdkit.Chem.rdchem.Mol object at 0x17853d380>
ClC1=C(Cl)C2(Cl)C3C(COC3=O)C1(Cl)C2(Cl)Cl,55.0,<rdkit.Chem.rdchem.Mol object at 0x17853d3f0>
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,0.25,<rdkit.Chem.rdchem.Mol object at 0x17853d460>
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,2.4604063892517,<rdkit.Chem.rdchem.Mol object at 0x17853d540>
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.175170413024902,<rdkit.Chem.rdchem.Mol object at 0x17853d5b0>
Clc1ccc(cc1)[S](=O)(=O)c2cc(Cl)c(Cl)cc2Cl,6.92,<rdkit.Chem.rdchem.Mol object at 0x17853d620>
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,2.97,<rdkit.Chem.rdchem.Mol object at 0x17853d690>
COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C,1.04,<rdkit.Chem.rdchem.Mol object at 0x17853d700>
ClBr,0.71,<rdkit.Chem.rdchem.Mol object at 0x17853d770>
CN1CSC(=S)N(C)C1,0.55,<rdkit.Chem.rdchem.Mol object at 0x17853d7e0>
CCCCCCCCN1SC=CC1=O,0.18,<rdkit.Chem.rdchem.Mol object at 0x17853d850>
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,13.0,<rdkit.Chem.rdchem.Mol object at 0x17853d8c0>
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,152.0,<rdkit.Chem.rdchem.Mol object at 0x17853d930>
CCO[P](=O)(SC(C)CC)N1CCSC1=O,0.66,<rdkit.Chem.rdchem.Mol object at 0x17853d9a0>
C[S](C)=O,25000.0,<rdkit.Chem.rdchem.Mol object at 0x17853daf0>
CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O,0.28,<rdkit.Chem.rdchem.Mol object at 0x17853db60>
CNC(=O)\C=C(/C)O[P](=O)(OC)OC,0.388,<rdkit.Chem.rdchem.Mol object at 0x17853dbd0>
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,1.3,<rdkit.Chem.rdchem.Mol object at 0x17853dcb0>
CCCCS[P](=O)(SCCCC)SCCCC,0.00663,<rdkit.Chem.rdchem.Mol object at 0x17853dd20>
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,141.2,<rdkit.Chem.rdchem.Mol object at 0x17853dd90>
NC(=O)N1c2ccccc2C=Cc3ccccc13,111.0,<rdkit.Chem.rdchem.Mol object at 0x17853de00>
OC(=O)c1ccccc1O,111.7,<rdkit.Chem.rdchem.Mol object at 0x17853de70>
CC(=O)Nc1ccc(O)cc1,20.1,<rdkit.Chem.rdchem.Mol object at 0x17853dee0>
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,30.3,<rdkit.Chem.rdchem.Mol object at 0x17853dfc0>
Oc1ccc(cc1)c2ccccc2,3.6595365,<rdkit.Chem.rdchem.Mol object at 0x17853e030>
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,0.00025,<rdkit.Chem.rdchem.Mol object at 0x17853e0a0>
Clc1ccc(CN2CCSC2=NC#N)cn1,88.0,<rdkit.Chem.rdchem.Mol object at 0x17853e110>
CC(C)O[P](=S)(OC(C)C)SCCN[S](=O)(=O)c1ccccc1,1.75,<rdkit.Chem.rdchem.Mol object at 0x17853e180>
CC(C)O[P](=O)(OC(C)C)SCc1ccccc1,4.2,<rdkit.Chem.rdchem.Mol object at 0x17853e1f0>
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,3.93,<rdkit.Chem.rdchem.Mol object at 0x17853e260>
CCOc1snc(n1)C(Cl)(Cl)Cl,9.15,<rdkit.Chem.rdchem.Mol object at 0x17853e2d0>
CCO[P](=S)(OCC)Oc1cc(on1)c2ccccc2,0.00057,<rdkit.Chem.rdchem.Mol object at 0x17853ec70>
CCO[P](=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.0052,<rdkit.Chem.rdchem.Mol object at 0x17853ee30>
CSSC,1.61,<rdkit.Chem.rdchem.Mol object at 0x17853f140>
CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC,0.01208,<rdkit.Chem.rdchem.Mol object at 0x17853f450>
CON(C(=O)OC)c1ccccc1COc2ccn(n2)c3ccc(Cl)cc3,0.068,<rdkit.Chem.rdchem.Mol object at 0x17853f4c0>
FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl,7.2,<rdkit.Chem.rdchem.Mol object at 0x17853f530>
CO\N=C(C(=O)OC)\c1ccccc1CO\N=C(/C)c2cccc(c2)C(F)(F)F,0.74,<rdkit.Chem.rdchem.Mol object at 0x17853f5a0>
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,1450.0,<rdkit.Chem.rdchem.Mol object at 0x17853f610>
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,755.0,<rdkit.Chem.rdchem.Mol object at 0x17853f680>
COc1ccc(\C=C\C)cc1,6.82,<rdkit.Chem.rdchem.Mol object at 0x17853f6f0>
CC(=C)C1CCC(=CC1)C,31.0,<rdkit.Chem.rdchem.Mol object at 0x17853f760>
CC(C)C1=CC=C(C)CC1,1.85,<rdkit.Chem.rdchem.Mol object at 0x17853f7d0>
CC1=CC[C@@H]2C[C@H]1C2(C)C,1.44,<rdkit.Chem.rdchem.Mol object at 0x17853f840>
CC(C)=C1CCC(=CC1)C,2.55,<rdkit.Chem.rdchem.Mol object at 0x17853f8b0>
COCCc1ccc(OCC(O)CNC(C)C)cc1,63.9,<rdkit.Chem.rdchem.Mol object at 0x17853f920>
CC(C)NCC(O)COc1cccc2ccccc12,1.6,<rdkit.Chem.rdchem.Mol object at 0x17853f990>
CC(C)N(C(=O)CCl)c1ccccc1,2.4,<rdkit.Chem.rdchem.Mol object at 0x17853fa00>
CNC(=O)O\N=C(/C)SC,0.0064,<rdkit.Chem.rdchem.Mol object at 0x17853fa70>
CCO[Si](OCC)(OCC)c1ccccc1,45.5,<rdkit.Chem.rdchem.Mol object at 0x17853fae0>
NN,0.28,<rdkit.Chem.rdchem.Mol object at 0x17853fb50>
CN(C)N,68.15,<rdkit.Chem.rdchem.Mol object at 0x17853fbc0>
CCCCCCS,0.028,<rdkit.Chem.rdchem.Mol object at 0x17853fc30>
